tytul;powierzchnia;l_pokoi;pietro;rok_budowy;cena;miejsce;Ulica
Super lokalizacja/do zamieszkania/ 2 pokoje;49.3;2;2;1970;485000;Gdańsk Wrzeszcz; Sochaczewska
Słoneczne 2 pokojowe mieszkanie Gdańsk Śródmieści;57.0;2;2;1930;588000;Gdańsk Dolne Miasto; Królikarnia
Mieszkanie 2-pokojowe Gdańsk ZASPA;48.0;2;2;1979;416000;Gdańsk Zaspa; Kombatantów
Orunia, po remoncie, 2 pokoje;45.0;2;1;1975;299000;Gdańsk Orunia; Związkowa
Słoneczne 2 pokojowe mieszkanie przymorze;38.0;2;3;1970;419000;Gdańsk Przymorze; Jagiellońska
3 pokoje z ogródkiem na Jasieniu Nowa Jabłoniowa;53.03;3;0;2019;477000;Gdańsk Jasień; Eugeniusza Węgrzyna
4 pokoje z pięknym widokiem. ZASPA! 72 M2;72.0;4;9;1980;689500;Gdańsk Zaspa; Konstantego Ciołkowskiego
ZASPA, 2 POKOJE BLISKO STACJI SKM;52.0;2;8;1980;462800;Gdańsk Zaspa; Dywizjonu 303
Mieszkanie na sprzedaż, Gdańsk, Wrzeszcz, Grudziądzka. Bez prowizji.;60.9;3;6;2019;749000;Gdańsk Wrzeszcz; Grudziądzka
Komfortowe, 2 pokoje z dużym balkonem!;47.0;2;2;2008;375000;Gdańsk Łostowice; Wielkopolska
Komfortowe, 2 pokoje z dużym balkonem!;47.0;2;2;2008;375000;Gdańsk Łostowice; Wielkopolska
Duże 3 pokojowe Mieszkanie w Matemblewie - aranżacja 62m2;62.0;3;2;1992;560000;Gdańsk Matemblewo; Potokowa 29
Wyjątkowy apartament na Garnizonie!;45.33;2;1;2019;729000;Gdańsk Wrzeszcz; Edwarda Stachury
Sprzedam słoneczne mieszkanie w ładnej okolicy;49.03;2;1;2011;429000;Gdańsk Orunia Górna; olimpijska 42
2 słoneczne pokoje w doskonałej lokalizacji WIDOK;44.52;2;8;1980;368000;Gdańsk Suchanino; Ignacego Paderewskiego
Morena 3 pokoje idealne dla rodziny 2010 rok;63.0;3;0;2010;549000;Gdańsk Morena; Myśliwskie Wzgórze
Morena/3 pokoje/ Osiedle Klimaty/Osiedle Roku 2012;63.0;3;3;2012;579000;Gdańsk Morena; Myśliwskie Wzgórze 15
Morena/ 3 pokoje/ Nowe Budownictwo/ Os.Klimaty/ Duży ogród;55.0;3;0;2012;650000;Gdańsk Morena; Myśliwskie Wzgórze 15
59,70m2 Jak nowe po remoncie  orunia Górna;59.7;3;3;2000;435000;Gdańsk Orunia Górna; Zygmunta Rumla
Mieszkanie na Przymorzu blisko plaży;30.0;1;8;2017;395000;Gdańsk Przymorze; Obrońców Wybrzeża 15
Gdańsk Chełm 3 odlotowe pokoje z windą po generalnym remoncie!;49.5;3;5;1985;519000;Gdańsk Chełm; Biegańskiego 39
Wzgórze Magellana Osiedle Przy Lesie!!! Ogród!!!;41.78;2;0;2009;449000;Gdańsk Morena; Ferdynanda Magellana
Okazja! Żabianka - kawalerka po remoncie! AWFiS;28.040;1;6;1980;329000;Gdańsk Żabianka; Bitwy Oliwskiej 15
Wrzeszcz, 3 pokoje po generalnym remoncie;63.01;3;4;2000;675000;Gdańsk Wrzeszcz; Danusi
0 domu z tarasem 31m2 +ogród +garaż +piwnica;67.0;3;1;1960;736900;Gdańsk Oliwa; Sarnia
3 pokoje po generalnym remoncie na Przymorzu;60.0;3;4;1968;579000;Gdańsk Przymorze; Śląska
Mieszkanie w pięknej kamienicy - OLIWA!!;45.4;2;2;1920;539000;Gdańsk Oliwa; Obrońców Westerplatte
Klimatyczne mieszkanie z widokiem na Stare Miasto;45.0;3;0;1905;599000;Gdańsk Biskupia Górka; Biskupia
2 POKOJOWE MIESZKANIE NA ORUNI;44.3;2;1;1920;289000;Gdańsk Orunia Dolna; Związkowa
DWUPOKOJOWY APARTAMENT PRZY STARYM MIEŚCIE!;44.5;2;3;1960;499000;Gdańsk Śródmieście; Rajska
SZUKASZ MIESZKANIA Z POTENCJAŁEM?! OLIWA! 0!;82.4;4;0;1899;890000;Gdańsk Oliwa; Aleksandra Majkowskiego
Kawalerka nad Motławą gotowa do wejścia.;20.0;1;4;1960;285000;Gdańsk Długie Ogrody; Długie Ogrody
Przestronne jasne ciepłe mieszkanie na 1-piętrze;49.03;2;1;2011;429000;Gdańsk Łostowice; Olimpijska
Mieszkanie blisko morza w nowym budownictwie;55.2;2;6;2013;639000;Gdańsk Przymorze; Obrońców Wybrzeża
świetna lokalizacja 2 pokoje!;58.0;2;0;1980;420000;Gdańsk Przymorze; Rzeczypospolitej
Rewelacyjne mieszkanie z ogródkiem;41.78;2;0;2009;449000;Gdańsk Morena; Ferdynanda Magellana
Duże i przestronne mieszkanie na Chełmie, dostępne od zaraz;73.8;4;0;1995;540000;Gdańsk Chełm; Kopeckiego
"Nowoczesne osiedle ""Dwa Tarasy"", 2 pokoje, hala garażowa, meble";47.0;2;2;2015;469000;Gdańsk Ujeścisko; Płocka 10
Brzezno, 2 pokoje, osobna kuchnia, wysoki 0, do remontu;49.8;2;0;1970;419000;Gdańsk Brzeźno; Emili Plater
Super lokjalizacja 4 pok z widokiem na morze;55.0;4;11;1979;750000;Gdańsk Przymorze; Obrońców Wybrzeża
Super lokjalizacja 4 pok z widokiem na morze;55.0;4;11;1979;750000;Gdańsk Przymorze; Obrońców Wybrzeża
Kawalerka - Stare Miasto - pod Żurawiem;25.0;1;1;1960;499000;Gdańsk Stare Przedmieście; Szeroka
Przestronne mieszkanie 3-pok, Wiszące Ogrody;64.0;3;4;2008;550000;Gdańsk Jasień; Przytulna
Przytulne mieszkanie 2-pok we Wrzeszczu;29.120;2;0;1950;349000;Gdańsk Wrzeszcz; Gołębia
Mieszkanie 3-pok z widokiem na panoramę;52.4;3;5;1964;459000;Gdańsk Wrzeszcz; Marynarki Polskiej
Mieszkanie 2-pok blisko morza;50.0;2;8;1974;410000;Gdańsk Przymorze; Jagiellońska
Przestronne mieszkanie 4-pok. Wiszące Ogrody;78.0;4;7;2012;660000;Gdańsk Jasień; Przytulna
Piękne mieszkanie na sprzedaż- Gdańsk, Letnica;36.13;2;2;NaN;435000;Gdańsk Letnica; Sucha
Klimatyczne mieszkanie! Stare Miasto;60.2;3;0;NaN;963200;Gdańsk Śródmieście; U Furty
Stare Miasto! Wyjątkowe mieszkanie nas sprzedaż;52.82;2;0;NaN;845120;Gdańsk Śródmieście; U Furty
Gdańsk, Wrzeszcz, Gołębia 4;50.7;2;1;1955;559000;Gdańsk Wrzeszcz; Gołębia 4
Gdańsk Morena - urokliwe mieszkanie z ogródkiem;64.0;3;0;2008;659000;Gdańsk Morena; Myśliwska
Blisko morza z balkonem! Dwa niezależne pokoje;46.0;2;5;1970;389000;Gdańsk Przymorze; Piastowska
Mieszkanie 4-pok z pieknym widokiem;83.38;4;9;2016;1190000;Gdańsk Zaspa; Jana Pawła Ii
3 pokoje z ogródkiem i 2 miejscami postojowymi!;61.27;3;0;2018;469000;Gdańsk Kowale; Zeusa
Kawalerka z ładnym widokiem i dużym balkonem;32.56;1;3;2013;280000;Gdańsk Łostowice; Stylowa
Gotowe 3 pokoje z ogrodem na Zakoniczynie!;57.9;3;0;2011;499000;Gdańsk Zakoniczyn; Konrada Guderskiego
3 pokoje siedlce nowe budownictwo!;65.4;3;0;2003;499000;Gdańsk Ujeścisko; Zielony Stok
Mieszkanie - Gdańsk Wrzeszcz Dolny, 849 000 zł;104.33;3;0;1938;849000;Gdańsk Aniołki; Daniela Chodowieckiego
Apartament stan deweloperski - 3 minuty od motławy;47.25;2;1;2019;599000;Gdańsk Śródmieście; Panieńska
2 pokoje nad morzem sprzedam!;26.35;2;3;1980;325000;Gdańsk Brzeźno; Gen. Józefa Hallera
Apartament - wysoki standard wykończenia;104.0;3;2;2005;1090000;Gdańsk Matemblewo; Jerzego Waldorffa
3 przytulne pokoje na Ujeścisku;56.1;3;3;2001;490000;Gdańsk Ujeścisko; Ostrołęcka
3 pokoje blisko PKM Gdańsk Matemblewo;78.0;3;1;1965;450000;Gdańsk Matemblewo; Dolne Młyny
Piękna kamienica Wrzeszcz ul. Aldony 117,5m;117.8;4;1;1910;880000;Gdańsk Wrzeszcz; Aldony
Mieszkanie w sercu Starego Miasta;50.0;2;1;1950;715000;Gdańsk Śródmieście; Tkacka
8 % w skali roku, możliwość zarządzania;63.4;5;4;1983;535000;Gdańsk Chełm; Marcina Dragana
3 pokojowe mieszkanie po remoncie Morena;63.06;3;2;2003;565000;Gdańsk Morena; Myśliwska
Przestronne, nowoczesne blisko morza i parku.;72.3;3;5;2015;919000;Gdańsk Zaspa; Jana Pawła Ii
Mieszkanie - Gdańsk Wrzeszcz, 408 000 zł;31.83;2;3;1910;408000;Gdańsk Wrzeszcz; Zwycięstwa
Spółdzielczo-własnościowe po remoncie;45.0;3;10;1970;419000;Gdańsk Orunia Dolna; Koralowa
Centrum starówki wysoki standard;55.46;3;1;1920;730000;Gdańsk Śródmieście; Św. Ducha
Centrum Wrzeszcza Kamienica 60 m 2.;60.94;2;1;1920;520000;Gdańsk Wrzeszcz; Stefana Batorego
4 pokoje z dwoma tarasami, ul. Potęgowska;81.0;4;3;2014;655000;Gdańsk Szadółki; Potęgowska
4 słoneczne pokoje Morena;79.0;4;10;1980;565000;Gdańsk Morena; Bulońska
4 Pokoje na Królewskim Wzgórzu! Zamknięte Osiedle!;80.18;4;1;2013;760000;Gdańsk Morena; Królewskie Wzgórze
Urządzone mieszkanie na Morenie z balkonem;43.27;2;1;2014;499000;Gdańsk Morena; Królewskie Wzgórze
KAWALERKA BLISKO MORZA W NOWYM BUDOWNICTWIE;32.0;1;4;2019;499000;Gdańsk Przymorze; Obrońców Wybrzeża
Gotowe do zamieszkania 2 pokoje!;38.7;2;0;2008;419000;Gdańsk Ujeścisko; Rogalińska
Rewelacyjny Apartament 700 m do Morza;46.0;2;9;2007;589000;Gdańsk Przymorze; Obrońców Wybrzeża
Mieszkanie z balkonem przy PARKU REAGANA!;46.0;2;5;1967;460000;Gdańsk Przymorze; Piastowska
Świetna inwestycja w centrum Gdańska z ogródkiem!;65.0;3;1;2014;839000;Gdańsk Śródmieście; Toruńska
Świetny Gotowiec 5-pokojowy / Zaspa;67.7;5;0;1970;535000;Gdańsk Zaspa; Dywizjonu 303
Świetne Mieszkanie na Zaspie;64.0;3;4;1979;539000;Gdańsk Zaspa; Dywizjonu 303
Mieszkanie 2 pokoje, Gdańsk Śródmieście;51.2;2;8;1961;450000;Gdańsk Śródmieście; Głęboka
Przestronne i słoneczne 3 pokoje z ogrodem;54.0;3;0;2008;459000;Gdańsk Ujeścisko; Anny Jagiellonki
Przestronne 2pokojowe mieszkanie w cichej okolicy;53.9;2;2;2010;469000;Gdańsk Kiełpinek; Przytulna
Duże M do remontu - z klimaten i potencjałem;79.4;4;4;NaN;448000;Gdańsk Wrzeszcz; Tadeusza Kościuszki
3 pokojowe Mieszkanie z wyposażeniem i garażem. Do negocjacji !;62.3;3;1;2017;529000;Gdańsk Jasień; Leskiego
Przestronna kawalerka z możliwością 2 pokoi ? SKM;31.0;1;9;1985;287500;Gdańsk Żabianka; Grunwaldzka
Kawalerka w super lokalizacji;31.0;1;9;1975;287500;Gdańsk Żabianka; Grunwaldzka
Mieszkanie 4 pokojowe na Morenie;65.0;4;11;1985;550000;Gdańsk Morena;
"Mieszkanie w dobrej cenie - Przymorze ""horyzont""";49.5;2;5;2004;550000;Gdańsk Przymorze; Obrońców Wybrzeża
Idealne pod inwestycję/wynajem - Centrum Gdańska;60.5;3;0;NaN;499000;Gdańsk Siedlce; Powstańców Warszawskich
Przymorze/Kawalerka dla singla,pary lub studenta!;20.0;1;9;NaN;269000;Gdańsk Przymorze; Obrońców Wybrzeża
Mieszkanie w Centrum Gdańska z potencjałem!;72.5;2;0;1916;599000;Gdańsk Śródmieście; Gdyńskich Kosynierów
Mieszkanie - Gdańsk Orunia, 423 000 zł;60.5;3;1;1930;423000;Gdańsk Orunia Dolna; Grabowa
Rodzinne duże mieszkanie w sercu Jasienia;79.4;4;3;2012;670000;Gdańsk Szadółki; Potęgowska
Po remoncie. Inwestycja lub mieszkanie dla rodziny;71.0;4;0;1950;669000;Gdańsk Wrzeszcz; Tadeusza Kościuszki
Mieszkanie 66.63 m2 wrzeszcz;66.63;3;1;1930;565000;Gdańsk Wrzeszcz; Tadeusza Kościuszki
Przytulne mieszkanie 2 pokoje 49,9 m2 Gdańsk;50.0;2;2;2008;420000;Gdańsk Łostowice; Jana Kielasa
Ładne, duże, ciche mieszkanie z ogródkiem.;91.42;4;0;1900;847000;Gdańsk Aniołki; Śniadeckich
Mieszkanie w domu dwurodzinnym z ogrodem;98.87;3;0;1900;495000;Gdańsk Orunia; Raduńska
Mieszkanie 2 pokojowe w centrum Wrzeszcza!;48.4;2;4;1955;420000;Gdańsk Wrzeszcz; Grunwaldzka
Przestronne, jasne mieszkanie z balkonem;74.9;4;7;1993;737690;Gdańsk Zaspa; Jana Pawła Ii
Stylowe mieszkanie w samym centrum głównego miasta;60.7;2;3;1960;849000;Gdańsk Śródmieście; Chlebnicka
IDEAlne pod inwestycję 3 pokoje na PRZYMORZU!;58.0;3;0;1956;495000;Gdańsk Przymorze; Piastowska
PRZESTRONNE MIESZKANIE WE WRZESZCZU;110.0;5;1;1915;805000;Gdańsk Wrzeszcz; Ludwika Waryńskiego
Apartament przy samym morzu - tre mare!;84.0;3;1;2017;1830000;Gdańsk Jelitkowo; Jelitkowska
120M2 NA ŁOSTOWICACH! GOTOWE DO WPROWADZENIA!;120.0;5;3;2011;599000;Gdańsk Łostowice; Jana Kielasa
REWELACYJNE 5 POKOJOWE MIESZKANIE W CENTRUM MORENY;63.0;5;4;1980;469000;Gdańsk Morena; Warneńska
Wyjątkowy Apartament morena - morenova;57.25;2;6;2017;629000;Gdańsk Morena; Stanisława Lema
3 POKOJE BLISKO MORZA! ZASPA!;64.6;3;0;1993;599999;Gdańsk Zaspa; Jana Pawła Ii
Gotowiec zarabiający 5 tysięcy/mies;73.4;6;3;1980;679000;Gdańsk Morena; Ignacego Matuszewskiego
PIĘKNY DWUPOZIOMOWY APARTAMENT NA MORENIE;95.0;4;3;2005;1095000;Gdańsk Morena; Budapesztańska
4-pokoje do remontu na Morenie;73.0;4;4;1970;469000;Gdańsk Morena; Budapesztańska
Mieszkanie pod turystów w centrum Gdańska;30.13;1;2;1954;430000;Gdańsk Śródmieście; Ogarna
Wyjątkowe mieszkanie, dom z ogródkiem;67.0;3;0;2001;590000;Gdańsk Karczemki; Jaśminowy Stok
Przestronne 4-pokojowe mieszk. w kamienicy-OLIWA;94.6;4;2;1920;849000;Gdańsk Oliwa; Kaprów
Mieszkanie w Historycznej dzielnicy Gdańska;55.19;2;2;1946;470000;Gdańsk Stare Przedmieście; Dolna Brama
Mieszkanie na Starówce, 2 pokoje;63.74;2;1;1950;787900;Gdańsk Śródmieście; Ogarna
Gdańsk Zakoniczyn, 3 pok. stan b. dobry;79.4;3;1;2009;599000;Gdańsk Zakoniczyn; Kazimierza Porębskiego
Gdańsk Zaspa, 3 pokoje, słoneczne;61.6;3;6;1980;598000;Gdańsk Zaspa; Startowa
2 pokoje z widokiem, Gdańsk Przymorze;38.0;2;10;1974;319000;Gdańsk Przymorze; Kołobrzeska
Dwupoziomowe mieszkanie z balkonem na jasieniu;187.0;6;4;1995;590000;Gdańsk Jasień; Pólnicy
Apartament Chmielna waterlane island spa basen;34.18;2;6;2018;565000;Gdańsk Stare Przedmieście; Chmielna
Mieszkanie Wrzeszcz 60m 2 pokoje  obok Garnizon;60.43;2;1;1960;490000;Gdańsk Wrzeszcz; Partyzantów 65
Morena, 3 pok, z garażem i dużym ogrodem 230 m2;77.13;3;0;2014;799000;Gdańsk Morena; Prof. Stefana Hausbrandta
Piękne i funkcjonalne mieszkanie 4 pokojowe;74.83;4;3;2014;675000;Gdańsk Ujeścisko; Konrada Guderskiego 16
Mieszkanie 3-pokojowe, Gdańsk - Przymorze, ul. Lecha Kaczyńskiego;54.0;3;3;1969;500000;Gdańsk Przymorze; Prezydenta Lecha Kaczyńskiego
Mieszkanie 3-pokojowe, Gdańsk - Przymorze, ul. Lecha Kaczyńskiego;54.0;3;3;1969;500000;Gdańsk Przymorze; Prezydenta Lecha Kaczyńskiego
Mieszkanie z ogrodem Gdańsk Jasień;53.0;3;0;2019;470000;Gdańsk Jasień; Eugeniusza Węgrzyna
2 pokoje 40 m2 Lawendowe Wzgórze obok pętli tramwajowej!;40.0;2;5;2020;380000;Gdańsk Jasień; Lawendowe Wzgórze
Mieszkanie - Gdańsk Śródmieście;53.81;3;2;2018;844817;Gdańsk Śródmieście; Panieńska
Kawalerka 2 Pokoje 28,5 m2 Lawendowe Wzgórze Stan Deweloperski;28.050;2;3;2020;255000;Gdańsk Jasień; Lawendowe Wzgórze
Loftowe mieszkanie na Olszynce - wysokość 5m;59.16;3;1;2020;485000;Gdańsk Olszynka; Zawodzie
Mieszkanie - Gdańsk Zaspa;66.8;4;7;1980;599000;Gdańsk Zaspa; Pilotów
Mieszkanie - Gdańsk Oliwa;42.1;2;0;1974;479000;Gdańsk Oliwa; Grottgera Artura
Ładne Mieszkanie 4 pokoje;72.8;4;1;1994;549000;Gdańsk Siedlce ; Bądkowskiego
Centrum Starego Miasta, ul. Długa, 3 pokoje;67.4;3;2;1950;800000;Gdańsk Śródmieście; Długa 20/21
Ciepłe, ustawne 2 - pokojowe, super lokalizacja!;42.5;2;0;1979;443000;Gdańsk Żabianka; Sztormowa
OldNova - Oferta Premium!;47.51;2;1;2018;799000;Gdańsk Śródmieście; Panieńska
Mieszkanie - Gdańsk Zaspa;66.8;3;7;1980;599000;Gdańsk Zaspa; Pilotów
Nowe mieszkanie w nowym bloku;77.0;4;6;2018;720000;Gdańsk Morena; Lema 15
Mieszkanie - Gdańsk Śródmieście;45.5;2;3;2018;740000;Gdańsk Śródmieście; Panieńska
Mieszkanie do remontu/własnej aranżacji;44.0;2;1;1950;265000;Gdańsk Wrzeszcz; Dzielna
Okazja! Słoneczne mieszkanie z ogrodem! Ujeścisko;82.4;4;0;NaN;599000;Gdańsk Ujeścisko; Ciechanowska
2 pokoje w centrum Gdańska Wrzeszcza;48.2;2;3;NaN;455000;Gdańsk Wrzeszcz; Grunwaldzka
Morena 2 pokoje 36m z widokiem na zatokę od zaraz!;36.31;2;5;2019;399000;Gdańsk Morena; Franciszka Rakoczego
Mieszkanie w budynku z 2008 r. na Chełmie, 2 oddzielne pokoje;51.17;2;3;2008;450000;Gdańsk Chełm; Szpora
"Osiedle Habenda""  3 pokojowe z ogródkiem i gardero";62.41;3;0;2012;459000;Gdańsk Łostowice; Olimpijska
"Osiedle Habenda""  3 pokojowe z ogródkiem i gardero";62.41;3;0;2012;459000;Gdańsk Łostowice; Olimpijska
Gdańsk Morena 2pokoje 36m z widokiem na zatokę;36.31;2;5;2019;399000;Gdańsk Morena; Franciszka Rakoczego
Mieszkanie Gdańsk Przymorze Al. Rzeczypospolitej 55 m2;55.0;2;14;2016;750000;Gdańsk Przymorze; Rzeczypospolitej
Komfortowe 2-pokojowe mieszkanie Jasień;49.0;2;1;2014;429000;Gdańsk Rębowo; Konrada Guderskiego
Przestronna inwestycja do własnej aranżacji;49.47;2;2;1960;489000;Gdańsk Stare Przedmieście; Rzeźnicka
Mieszkanie Gdańsk Kokoszki  64 m2;64.0;3;4;2008;550000;Gdańsk Kokoszki;
Piękne mieszkanie z widokiem na Zatokę gdańską;99.6;4;11;2006;1420000;Gdańsk Przymorze; Obrońców Wybrzeża
Mieszkanie 2-pokojowe 39,19m2- Gdańsk Brzeźno Blisko Morza;39.0;2;2;NaN;389000;Gdańsk Brzeźno; Ksawerego Dunikowskiego
ZASPA! Idealne pod inwestycję! Blisko centrum!;65.0;3;4;1991;580000;Gdańsk Zaspa;
ZASPA! Idealne pod inwestycję! Blisko centrum!;65.0;3;4;1991;580000;Gdańsk Zaspa;
Trzy pokojowe mieszkanie w Śródmieściu;65.12;3;2;1960;689000;Gdańsk Śródmieście; Kartuska
Piękny Apartament 3 Żagle 10minut pieszo do morza;67.0;3;5;2011;775000;Gdańsk Przymorze; Olsztyńska
Mieszkanie 51,45 m2 Morena ul. Królewskie Wzgórze;51.45;2;0;2015;499000;Gdańsk Morena; Królewskie Wzgórze
Mieszkanie idealne dla Pary;40.0;2;2;2013;375000;Gdańsk Szadółki; Potęgowska
Zadbane 52,1 m2 mieszkanie w Nowym Porcie !;52.1;2;3;1974;349000;Gdańsk Nowy Port;
Mieszkanie 2-pokojowe 51m2 - Wrzeszcz;51.0;2;2;2010;600000;Gdańsk Wrzeszcz; Hallera
3-pok 67 m2 nad Motławą, duży balkon, garaż;67.0;3;4;2012;1189000;Gdańsk Długie Ogrody; Szafarnia
3-pok, 55m2, hala, Chmielna Park;55.0;3;1;2016;742500;Gdańsk Stare Przedmieście; Chmielna
2 Pokoje w nowym budownictwie !;43.0;2;0;2019;415000;Gdańsk Łostowice; Niepołomicka
Cesja mieszkania 78mkw gotowe do odbioru;76.59;2;2;2019;449000;Gdańsk Niepołomicka;
Nowe dwupokojowe mieszkanie z balkonem;49.17;2;1;2017;535000;Gdańsk Morena; Stanisława Lema
2-pok mieszkanie do remontu we wrzeszczu;41.5;2;3;NaN;365000;Gdańsk Wrzeszcz; Jana Pestalozziego
Mieszkanie 2 pokojowe, Brzeźno - Świetna cena!;39.19;2;2;NaN;389000;Gdańsk Brzeźno; Ksawerego Dunikowskiego
Sprzedam 4 pokojowe rodzinne mieszkanie;89.11;4;4;2017;929000;Gdańsk Jasień; Myśliwska
Mieszkanie - Gdańsk Przymorze;44.5;2;2;NaN;429000;Gdańsk Przymorze; Kołobrzeska
Szukasz mieszkania w spokojnej okolicy?;75.0;4;3;2013;459000;Gdańsk Łostowice; Hokejowa
Gratka dla miłiłośników Starej Oliwy!!;49.04;2;1;1900;485000;Gdańsk Oliwa; Podhalańska
Atrakcyjne 3 pokoje w centrum Wrzeszcza;62.84;3;2;1965;549000;Gdańsk Wrzeszcz;
Mieszkanie - Gdańsk Przymorze;38.0;2;4;NaN;379000;Gdańsk Przymorze; Jagiellońska
Kawalerka w pożądanej dzielnicy na sprzedaż!;26.010;1;4;1960;325380;Gdańsk VII Dwór; Aleksandra Gryglewskiego
Mieszkanie - Gdańsk Siedlce;55.7;3;0;NaN;385000;Gdańsk Siedlce; Szara
Przymorze/ 4 pokoje/ 20 minut od plaży- inwestycja;58.0;4;5;NaN;499000;Gdańsk Przymorze; Czerwony Dwór
Blisko plaży gotowe do wprowadzenia niskie opłaty;38.0;2;4;1970;399000;Gdańsk Przymorze; Jagiellońska
Nowe 2 pok. z balkonem, Gdańsk Jasień/Kowale;49.2;2;1;2012;429000;Gdańsk Rębowo; Konrada Guderskiego
Nova Oliva 2 pok. blisko centrum biznesowego;52.65;2;4;2010;699000;Gdańsk Przymorze; Słowiańska
Słoneczne  3 pokoje na Suchaninie;52.3;3;2;1975;449000;Gdańsk Suchanino; Karola Kurpińskiego
Duże mieszkanie na Morenie w otoczeniu zieleni;63.8;3;0;1985;517000;Gdańsk Morena; Heleny Marusarzówny
Bliźniak na Kowalach - stan deweloperski;170.0;5;1;2020;799000;Gdańsk Aniołki;
Sprzedam mieszkanie rozkładne;50.0;2;1;1980;425000;Gdańsk Zaspa;
Super mieszkanie! umeblowane, balkon, 2 pok. Zaspa;42.5;2;9;1976;398000;Gdańsk Zaspa; Konstantego Ciołkowskiego
Zaspa/ 4 pokoje/ Ogródek/ blisko SKM;67.0;4;0;1970;599000;Gdańsk Zaspa; Pilotów
3 Pokoje piękny widok/ Żabianka/Blisko Morza i SKM;56.0;3;7;1975;545000;Gdańsk Żabianka; Pomorska
Mieszkanie - Gdańsk Przymorze;38.0;2;1;1970;380000;Gdańsk Przymorze; Jagiellońska
Kawalerka na Przymorzu w Dobrej Cenie;22.0;1;4;NaN;267000;Gdańsk Przymorze; Chłopska
Mieszkanie przy Parku Oliwskim.;42.0;1;1;NaN;430000;Gdańsk Oliwa; Wita Stwosza
Sprzedam mieszkanie;50.0;2;8;1970;415000;Gdańsk Przymorze; Jagiellońska
Mieszkanie 3 pokojowe z ładnym widokiem!;62.27;3;2;2018;684000;Gdańsk Szadółki; Turzycowa
Mieszkanie - Gdańsk , 465 000 zł;44.15;2;10;NaN;465000;Gdańsk Morena; Franciszka Rakoczego
3 pokoje Brzeźno. Zamieszkaj blisko morza!;46.82;3;2;1969;450000;Gdańsk Brzeźno; Hallera
Super! n. blok Park Reagana, 2 pok, Przymorze!;38.0;2;1;1978;378000;Gdańsk Przymorze; Jagiellońska
Mieszkanie - Gdańsk Strzyża;54.4;3;3;1966;591600;Gdańsk VII Dwór; Henryka Rodakowskiego
Okazja! Blisko GUMed, Politechnika! Centrum Morena;52.78;2;4;1991;419000;Gdańsk Morena; Prof. Stefana Myczkowskiego
Mieszkanie - Gdańsk Nowy Port;43.0;2;0;NaN;326400;Gdańsk Nowy Port; Strajku Dokerów
2 Pokoje/Ogródek/Łostowice /kameralne osiedle;36.5;2;0;2019;340000;Gdańsk Łostowice; Niepołomicka
Mieszkanie - Gdańsk Zaspa;42.5;2;9;1976;417180;Gdańsk Zaspa; Konstantego Ciołkowskiego
Mieszkanie - Gdańsk Ujeścisko;67.93;4;1;NaN;559980;Gdańsk Ujeścisko; Nowosądecka
Mieszkanie - Gdańsk Aniołki;45.0;2;1;2020;508500;Gdańsk Suchanino; Powstańców Warszawskich
2 pokoje w zaciszu Oliwy - 1 km od OBC!;42.1;2;0;1974;479000;Gdańsk Oliwa; Grottgera
Mieszkanie - Gdańsk Przymorze;38.0;2;3;1970;427380;Gdańsk Przymorze; Jagiellońska
Mieszkanie - Gdańsk Brzeźno;35.3;2;4;NaN;392700;Gdańsk Brzeźno; Gen. Józefa Hallera
Dwa pokoje/ Nowe budownictwo/ Gdańsk Zaspa;47.8;2;1;2004;529000;Gdańsk Zaspa; Jana Pawła Ii
Mieszkanie - Gdańsk Chełm;49.5;3;5;1985;529380;Gdańsk Chełm; Władysława Biegańskiego
Mieszkanie - Gdańsk Ujeścisko;75.0;4;3;2013;489600;Gdańsk Łostowice; Hokejowa
Hit inwestycyjny, blisko awf, roi +-10%;91.0;7;0;1976;818000;Gdańsk Żabianka; Grunwaldzka
Trzypokojowe mieszkanie gotowe do wprowadzenia!;61.0;3;1;2012;545000;Gdańsk Ujeścisko; Piotrkowska
Mieszkanie Aleja Zwycięstwa/Traugutta;62.0;2;2;1922;558000;Gdańsk;Aleja Zwycięstwa
"Na sprzedaż ""klimatyczne"" mieszkanie pod klucz";47.7;2;4;2009;480000;Gdańsk Piecki-Migowo;
3 pokoje 65 mkw piwnica 2 garderoby;65.0;3;2;2009;489000;Gdańsk Łostowice; Hokejowa
Przestronne mieszkanie- duży potencjał w niskiej cenie;61.0;2;5;1998;405000;Gdańsk Niedźwiednik;
Przestronne mieszkanie- duży potencjał w niskiej cenie;61.0;2;5;1998;405000;Gdańsk Niedźwiednik;
Bez Pośredników * Morena* 2 pok.+ osobna kuchnia* NOWE;44.0;2;2;2020;465000;Gdańsk Morena; Myśliwska
Mieszkanie 2-pok Stare Miasto;37.1;2;1;1957;530000;Gdańsk Śródmieście; Czopowa
Apartament Horyzont;44.0;2;11;2006;700000;Gdańsk Przymorze; Obrońców Wybrzeża 25
Mieszkanie 3-pok na Chełmie blisko tramwaju;53.34;3;0;2008;459000;Gdańsk Ujeścisko; Anny Jagiellonki
Apartament kwartał kamienic;78.0;3;2;2012;1540000;Gdańsk Śródmieście; Tandeta
Komfortowy apartament z widokiem na motławę;73.0;2;5;2009;1680000;Gdańsk Śródmieście; Targ Rybny
